schemaTuple,visited,timesVisited,id
productvariantstocks,True,3,5e905f69-7b7b-5194-88a6-fc2c4249c05e
productvariantquantityavailable,True,34,031cf738-f70f-5003-b4f2-c39b92486d49
variantpricinginfoonsale,True,22,031cf738-f70f-5003-b4f2-c39b92486d49
variantpricinginfodiscount,True,1,ab36524e-b258-5216-9073-b7b014ff62d0
variantpricinginfodiscountlocalcurrency,True,2,bcae6438-650f-588c-8bc2-8a72d92b4215
variantpricinginfoprice,True,24,031cf738-f70f-5003-b4f2-c39b92486d49
variantpricinginfopriceundiscounted,True,26,031cf738-f70f-5003-b4f2-c39b92486d49
variantpricinginfopricelocalcurrency,True,2,bcae6438-650f-588c-8bc2-8a72d92b4215
taxedmoneycurrency,True,28,b3e80b84-861f-52b9-a05c-b75ee208635a
taxedmoneygross,True,177,d395a985-5b99-5863-9315-a4209a8fe8a7
taxedmoneynet,True,53,031cf738-f70f-5003-b4f2-c39b92486d49
taxedmoneytax,False,0,
selectedattributeattribute,True,59,7b4bdb8a-0b21-54d5-a4c7-e53b82b877ea
selectedattributevalues,True,55,7b4bdb8a-0b21-54d5-a4c7-e53b82b877ea
productimageid,True,23,031cf738-f70f-5003-b4f2-c39b92486d49
productimagesortorder,False,0,
productimagealt,True,20,031cf738-f70f-5003-b4f2-c39b92486d49
productimageurl,True,23,031cf738-f70f-5003-b4f2-c39b92486d49
productvarianttranslationid,False,0,
productvarianttranslationname,True,5,ffdc3a1b-86de-5436-8363-8838e23d2084
productvarianttranslationlanguage,True,2,364bb406-8be1-5a05-bfe6-9ae3bdc78c66
digitalcontentusedefaultsettings,False,0,
digitalcontentautomaticfulfillment,False,0,
digitalcontentproductvariant,False,0,
digitalcontentcontentfile,True,1,4c33f77b-a673-5ec3-b730-1ca05437ee06
digitalcontentmaxdownloads,False,0,
digitalcontenturlvaliddays,False,0,
digitalcontenturls,False,0,
digitalcontentid,True,3,4c33f77b-a673-5ec3-b730-1ca05437ee06
digitalcontentprivatemetadata,True,4,59724c57-afa8-58ed-92f6-0d8a86111c40
digitalcontentmetadata,True,4,6dc90223-2c35-5e05-a235-5a1ee54684c0
digitalcontenturlcontent,False,0,
digitalcontenturlcreated,False,0,
digitalcontenturldownloadnum,False,0,
digitalcontenturlid,False,0,
digitalcontenturlurl,False,0,
digitalcontenturltoken,False,0,
stockwarehouse,True,5,f6590a1a-6295-5a3d-9c88-da5327871aab
stockproductvariant,True,3,d3524127-edde-5f68-ba0b-32409826c532
stockquantity,True,5,f6590a1a-6295-5a3d-9c88-da5327871aab
stockid,True,7,2fea8b12-9859-5808-9da6-20d6f1d51c07
stockquantityallocated,True,5,f6590a1a-6295-5a3d-9c88-da5327871aab
